//Golden Streams|~~|nn nnps|~~|1/1 1|~~|0 0
we'll sit and boast|~~|nn vb cc vbp|~~|1 1 1 1|~~|4 0 47 0
that "it's all we need"|~~|in " nns dt prp vbn "|~~|1 " 1 1 1 1 "|~~|15 0 2 15 23 4 0
|~~||~~||~~|
Wade through the sand|~~|vb in dt nn|~~|1 1 0 1|~~|0 1 89 1
and find the romance|~~|cc vb dt nn|~~|1 1 0 0/1|~~|47 0 89 0
that we know we need|~~|in prp vb prp vbn|~~|1 1 1 1 1|~~|15 23 4 23 4
|~~||~~||~~|
Boys of Melody|~~|nnps in nnp|~~|1 1 1/0/0|~~|0 26 0
And they'll follow me|~~|cc nn vb prp|~~|1 1 1/0 1|~~|47 0 2 14
And I'll sing harmony|~~|cc nnp vb nn|~~|1 1 1 1/0/0|~~|47 6 0 0
|~~||~~||~~|
And with our song|~~|cc in prp$ nn|~~|1 1 1/0 1|~~|47 13 8 0
marching along|~~|vbg in|~~|1/0 0/1|~~|0 0
few feign a frown|~~|jj nn dt nn|~~|1 1 1 1|~~|0 0 43 0
or forget their towns|~~|cc vb prp$ nns|~~|1 0/1 1 1|~~|6 0 1 0
|~~||~~||~~|
We proceed in stained bed sheets|~~|prp vb in vbn vbn nns|~~|1 0/1 0 1 1 1|~~|23 0 38 0 0 0
and hang on our sleeves|~~|cc vb in prp$ nns|~~|1 1 1 1/0 1|~~|47 0 29 8 0
that "we're happy"|~~|in " nn jj "|~~|1 " 1 1/0 "|~~|15 0 0 0 0
|~~||~~||~~|
Sung with a chorus of tones|~~|vbn in dt nns in nns|~~|1 1 1 1/0 1 1|~~|0 13 43 0 26 0
backed by drums and drones|~~|vbn in nns cc nns|~~|1 1 1 1 1|~~|0 6 0 47 0
We march towards the sea|~~|prp nn in dt nn|~~|1 1 0/1 0 1|~~|23 0 0 89 2
|~~||~~||~~|
As we reach the edge|~~|in prp vb dt nn|~~|1 1 1 0 1|~~|7 23 0 89 0
I sing a new lament|~~|nnp vb dt jj nn|~~|1 1 1 1 0/1|~~|57 0 43 0 0
"the boys are here with me"|~~|" dt nns vbp rb in prp "|~~|" 0 1 1 1 1 1 "|~~|0 89 0 3 3 13 14 0
|~~||~~||~~|
Boys of melody|~~|nnps in nn|~~|1 1 1/0/0|~~|0 26 0
And they'll follow me|~~|cc nn vb prp|~~|1 1 1/0 1|~~|47 0 2 14
And I'll sing harmony|~~|cc nnp vb nn|~~|1 1 1 1/0/0|~~|47 6 0 0
|~~||~~||~~|
And "it's all we need"|~~|cc " nns dt prp vbn "|~~|1 " 1 1 1 1 "|~~|47 0 2 15 23 4 0
"The boys are here with me"|~~|" dt nns vbp rb in prp "|~~|" 0 1 1 1 1 1 "|~~|0 89 0 3 3 13 14 0
"We're happy"|~~|" nnp jj "|~~|" 1 1/0 "|~~|0 0 0 0
|~~||~~||~~|
//Breathe on it |~~|nn in prp  |~~|1 1 1  |~~|0 29 11 0
God comes from the light of fire |~~|nnp vbz in dt nn in nn  |~~|1 1 1 0 1 1 1/0  |~~|0 2 13 89 0 26 0 0
When I get a hold of it |~~|wrb nnp vb dt nn in prp  |~~|1 1 1 1 1 1 1  |~~|9 57 0 43 4 26 11 0
I can breathe alright|~~|nnp md vb nn|~~|1 1 1 1/1|~~|57 7 0 0
Breathe on it |~~|vb in prp  |~~|1 1 1  |~~|0 29 11 0
His words do calm my mind|~~|prp$ nns vbp jj prp$ nn|~~|1 1 1 1 1 1|~~|16 1 14 0 22 5
 I lose my whole honor |~~|nn vb prp$ jj nn  |~~|1 1 1 1 1/0  |~~|0 0 22 0 0 0
So I can breathe on fire|~~|rb nnp md vb in nn|~~|1 1 1 1 1 1/0|~~|1 57 7 0 29 0
I may be damaged by the rod|~~|nnp md vb vbn in dt nn|~~|1 1 1 1/0 1 0 1|~~|57 3 46 0 6 89 0
 And damned in the light |~~|nn jj in dt nn  |~~|1 1 0 0 1  |~~|0 0 38 89 0 0
Sit with all the wicked |~~|vb in dt dt jj  |~~|1 1 1 0 1/0  |~~|0 13 15 89 0 0
Untamed by holy rites|~~|vbn in rb nns|~~|1/1 1 1/0 1|~~|0 6 1 0
The gasp for air is ashes|~~|dt nn in nn vbz nns|~~|0 1 1 1 1 1/0|~~|89 0 16 0 15 0
 But we're breathing for life|~~|nn nn vbg in nn|~~|1 1 1/0 1 1|~~|0 0 0 16 3
 Being best friends with all the witches|~~|nn jjs nns in dt dt nns|~~|1 1 1 1 1 0 1/0|~~|0 1 1 13 15 89 0
 And slaves to our skinny thighs|~~|nn nns to prp$ jj nns|~~|1 1 1 1/0 1/0 1|~~|0 0 51 8 0 3
Breathe on it |~~|vb in prp  |~~|1 1 1  |~~|0 29 11 0
God breathes a mighty storm|~~|nnp vbz dt jj nn|~~|1 1 1 1/0 1|~~|0 0 43 0 0
 I can teach a whole wet army |~~|nn md vb dt jj jj nn  |~~|1 1 1 1 1 1 1/0  |~~|0 7 1 43 0 0 1 0
To breathe on fire|~~|to vb in nn|~~|1 1 1 1/0|~~|51 0 29 0
And when I breathe on it |~~|cc wrb nnp vb in prp  |~~|1 1 1 1 1 1  |~~|47 9 57 0 29 11 0
I feel washed and alive |~~|nnp vb vbn cc jj  |~~|1 1 1 1 0/1  |~~|57 1 0 47 0 0
The smell of soot is honor |~~|dt nn in nn vbz nn  |~~|0 1 1 1 1 1/0  |~~|89 0 26 0 15 0 0
As I breathe on fire|~~|in nnp vb in nn|~~|1 1 1 1 1/0|~~|7 57 0 29 0
In the bowels of hell |~~|in dt nns in nn  |~~|0 0 1/0 1 1  |~~|38 89 0 26 2 0
We will be known for our tongues |~~|prp md vb vbn in prp$ nns  |~~|1 1 1 1 1 1/0 1  |~~|23 10 46 0 16 8 0 0
Set apart from all the wicked|~~|vbn rb in dt dt jj|~~|1 0/1 1 1 0 1/0|~~|0 0 13 15 89 0
 Under his coat, on our own|~~|nn prp$ nn , in prp$ jj|~~|1/1 1 1 , 1 1/0 1|~~|0 16 0 0 29 8 4
We may feel gifted as we blow |~~|prp md vb jj in prp nn  |~~|1 1 1 1/0 1 1 1  |~~|23 3 1 0 7 23 0 0
Producing flames every night |~~|vbg nns dt nn  |~~|0/1/0 1 1/0/0 1  |~~|0 0 2 6 0
Feeling warm under the covers |~~|vbg jj in dt nns  |~~|1/0 1 1/0 0 1/0  |~~|0 0 2 89 2 0
Is the air for our lungs|~~|vbz dt nn in prp$ nns|~~|1 0 1 1 1/0 1|~~|15 89 0 16 8 0
As I breathe on it I know I've caught the bug|~~|in nnp vb in nn vb nnp vbn dt nn|~~|1 1 1 1 1/1 1 1 1 0 1|~~|7 57 0 29 0 4 2 1 89 0
 God teaches whole armies |~~|nn vbz jj nns  |~~|1 1/0 1 1/0  |~~|0 0 0 0 0
To breathe on fire|~~|to vb in nn|~~|1 1 1 1/0|~~|51 0 29 0
And as I breathe on it |~~|cc in nnp vb in prp  |~~|1 1 1 1 1 1  |~~|47 7 57 0 29 11 0
 know I've caught the bug|~~|vb nnp vbn dt nn|~~|1 1 1 0 1|~~|4 2 1 89 0
 I can teach a whole army |~~|nn md vb dt jj nn  |~~|1 1 1 1 1 1/0  |~~|0 7 1 43 0 1 0
To breathe alright|~~|to vb nn|~~|1 1 1/1|~~|51 0 0
//Ode to self-publishing – Fear of ‘Zine Failure|~~|nn to nn – nnp in nn nnp|~~|1 1 1/1/1/1 – 1 1 1 1/0|~~|0 51 0 0 0 26 0 0
|~~||~~||~~|
Fear of 'zine failure|~~|nnp in nn nn|~~|1 1 1 1/0|~~|0 26 0 0
has taken the sunlight away|~~|vbz vbn dt nn rb|~~|1 1/0 0 1/1 0/1|~~|0 0 89 0 2
Fear of my rivals|~~|nnp in prp$ nns|~~|1 1 1 1/0|~~|0 26 22 0
fear of my idols who reign|~~|nn in prp$ nns wp nn|~~|1 1 1 1/0 1 1|~~|0 26 22 0 7 0
has taken the sunlight|~~|vbz vbn dt nn|~~|1 1/0 0 1/1|~~|0 0 89 0
has taken the sun from my day|~~|vbz vbn dt nn in prp$ nn|~~|1 1/0 0 1 1 1 1|~~|0 0 89 1 13 22 4
|~~||~~||~~|
Fear of limbs flailing|~~|nnp in nns vbg|~~|1 1 1 1/0|~~|0 26 0 0
has brought my whole body to shame|~~|vbz vbn prp$ jj nn to nn|~~|1 1 1 1 1/0 1 1|~~|0 0 22 0 1 51 4
Afraid of my fingers|~~|jj in prp$ nns|~~|0/1 1 1 1/0|~~|0 26 22 1
that point to the sun far away|~~|in nn to dt nn rb rb|~~|1 1 1 0 1 1 0/1|~~|15 0 51 89 1 0 2
has bled my whole body|~~|vbz vbd prp$ jj nn|~~|1 1 1 1 1/0|~~|0 0 22 0 1
has bled my whole body to shame|~~|vbz vbd prp$ jj nn to nn|~~|1 1 1 1 1/0 1 1|~~|0 0 22 0 1 51 4
|~~||~~||~~|
Fear of the Bible|~~|nnp in dt jj|~~|1 1 0 1/0|~~|0 26 89 0
has wasted my whole life away|~~|vbz vbn prp$ jj nn rb|~~|1 1/0 1 1 1 0/1|~~|0 0 22 0 3 2
Heat naves of the cathedrals|~~|nnp nns in dt nns|~~|1 1 1 0 0/1/0|~~|0 0 26 89 0
Bring the whole place to ashes and sing:|~~|vb dt jj nn to nns cc vb :|~~|1 0 1 1 1 1/0 1 1 :|~~|0 89 0 0 51 0 47 0 0
"I've got a whole Bible|~~|" nnp vbd dt jj jj|~~|" 1 1 1 1 1/0|~~|0 2 1 43 0 0
I've got a whole Bible in me"|~~|nnp vbd dt jj jj in prp "|~~|1 1 1 1 1/0 0 1 "|~~|2 1 43 0 0 38 14 0
|~~||~~||~~|
My odd way of walking|~~|prp$ jj nn in vbg|~~|1 1 1 1 1/0|~~|22 0 5 26 0
is the fear of my highschool today|~~|vbz dt nn in prp$ nn nn|~~|1 0 1 1 1 1/1 0/1|~~|15 89 0 26 22 0 2
I'm not afraid of my feelings|~~|nnp rb jj in prp$ nns|~~|1 1 0/1 1 1 1/0|~~|8 14 0 26 22 0
I'm not afraid of your asshole complaints|~~|nnp rb jj in prp$ nn nns|~~|1 1 0/1 1 1 1/1 0/1|~~|8 14 0 26 26 0 0
I'm going to publish a title|~~|nnp vbg to vb dt nn|~~|1 1/0 1 1/0 1 1/0|~~|8 2 51 0 43 0
photocopy and mail it away|~~|vb cc nn prp rb|~~|1/0/1/0 1 1 1 0/1|~~|0 47 0 11 2
|~~||~~||~~|
Fear of 'zines failing|~~|nnp in nns vbg|~~|1 1 1 1/0|~~|0 26 1 0
has taken the sunlight away|~~|vbz vbn dt nn rb|~~|1 1/0 0 1/1 0/1|~~|0 0 89 0 2
has taken the sunlight|~~|vbz vbn dt nn|~~|1 1/0 0 1/1|~~|0 0 89 0
has taken the sun from my day|~~|vbz vbn dt nn in prp$ nn|~~|1 1/0 0 1 1 1 1|~~|0 0 89 1 13 22 4
has taken the sunlight|~~|vbz vbn dt nn|~~|1 1/0 0 1/1|~~|0 0 89 0
has taken the sun from my day|~~|vbz vbn dt nn in prp$ nn|~~|1 1/0 0 1 1 1 1|~~|0 0 89 1 13 22 4
|~~||~~||~~|
//Shame|~~|nn|~~|1|~~|4
|~~||~~||~~|
Shame, shame, shame, shame|~~|nnp , nn , nn , nn|~~|1 , 1 , 1 , 1|~~|4 0 4 0 4 0 4
Lift my legs, lift my legs, |~~|vb prp$ nns , vb prp$ nns ,|~~|1 1 1 , 1 1 1 ,|~~|0 22 0 0 0 22 0 0
Lift my legs, lift my legs, lift my legs and drop the complaints |~~|vb prp$ nns , vb prp$ nns , vb prp$ nns cc nn dt nns|~~|1 1 1 , 1 1 1 , 1 1 1 1 1 0 0/1|~~|0 22 0 0 0 22 0 0 0 22 0 47 0 89 0
Of your life, of your wife, of your life of your wife of your life just drop the wife|~~|in prp$ nn , in prp$ nn , in prp$ nn in prp$ nn in prp$ nn rb nn dt nn|~~|1 1 1 , 1 1 1 , 1 1 1 1 1 1 1 1 1 1 1 0 1|~~|26 26 3 0 26 26 2 0 26 26 3 26 26 2 26 26 3 9 0 89 2
|~~||~~||~~|
And pick up men, pick up men|~~|cc vb in nns , vb in nns|~~|1 1 1 1 , 1 1 1|~~|47 0 3 0 0 0 3 0
Pick up men, pick up men, pick up men and invite them into your car or into a bar, in a car, in a bar, in a car, it's all about the bars|~~|vb in nns , vb in nns , vb in nns cc vb prp in prp$ nn cc in dt nn , in dt nn , in dt nn , in dt nn , nns dt in dt nns|~~|1 1 1 , 1 1 1 , 1 1 1 1 0/1 1 0/1 1 1 1 0/1 1 1 , 0 1 1 , 0 1 1 , 0 1 1 , 1 1 0/1 0 1|~~|0 3 0 0 0 3 0 0 0 3 0 47 0 1 4 26 0 6 4 43 0 0 38 43 0 0 38 43 0 0 38 43 0 0 2 15 2 89 0
|~~||~~||~~|
And you give me a new name, it's all about the name|~~|cc prp vb prp dt jj nn , nns dt in dt nn|~~|1 1 1 1 1 1 1 , 1 1 0/1 0 1|~~|47 19 1 14 43 0 2 0 2 15 2 89 2
like Roger or Lincoln or Teddy, how 'bout Elaine?|~~|in nnp cc nnp cc nnp , wrb nn nnp ?|~~|1 1/1 1 1/1 1 1/0 , 1 1 1/1 ?|~~|5 0 6 0 6 0 0 4 3 0 0
I've got a woman's thighs and a woman's mind|~~|nnp vbd dt nns nns cc dt nns nn|~~|1 1 1 1/1 1 1 1 1/1 1|~~|2 1 43 6 3 47 43 6 5
woman's thighs, woman's mind, woman's thighs, neither are nice|~~|nns nns , nns nn , nns nns , dt nn jj|~~|1/1 1 , 1/1 1 , 1/1 1 , 1/0 1 1|~~|6 3 0 6 5 0 6 3 0 1 3 1
|~~||~~||~~|
'Cause you like me to tie you to ice|~~|nn prp in prp to nn prp to nn|~~|1 1 1 1 1 1 1 1 1|~~|1 19 5 14 51 1 19 51 1
Woman's mind?|~~|nnps nn ?|~~|1/1 1 ?|~~|6 5 0
|~~||~~||~~|
Shame, shame, shame, shame|~~|nnp , nn , nn , nn|~~|1 , 1 , 1 , 1|~~|4 0 4 0 4 0 4
|~~||~~||~~|
Move your lips, move your hips|~~|nnp prp$ nns , nn prp$ nns|~~|1 1 1 , 1 1 1|~~|6 26 2 0 6 26 3
Move your hips, move your lips, move your hips, it's the loneliness|~~|nnp prp$ nns , nn prp$ nns , nn prp$ nns , nns dt nn|~~|1 1 1 , 1 1 1 , 1 1 1 , 1 0 1/0/0|~~|6 26 3 0 6 26 2 0 6 26 3 0 2 89 1
that's camera shy, and tries to hide|~~|nns nn jj , cc vbz to vb|~~|1 1/0/0 1 , 1 1 1 1|~~|1 2 1 0 47 1 51 1
crooked teeth, crooked feet, crooked teeth how 'bout the cock?|~~|jj nns , jj nns , jj nns wrb nn dt nn ?|~~|1/0 1 , 1/0 1 , 1/0 1 1 1 0 1 ?|~~|3 2 0 3 2 0 3 2 4 3 89 1 0
Move aside bras and tights|~~|nnp rb nns cc nns|~~|1 0/1 1 1 1|~~|6 1 1 47 1
put on lice, put on lice, put on lice, scurvy and lice|~~|vb in nns , vb in nns , vb in nns , nn cc nns|~~|1 1 1 , 1 1 1 , 1 1 1 , 1/1 1 1|~~|7 29 4 0 7 29 4 0 7 29 4 0 1 47 4
and polio, polio|~~|cc nn , nn|~~|1 1/0/1 , 1/0/1|~~|47 5 0 5
polio, polio, polio, how 'bout AIDS?|~~|nn , nn , nn , wrb nn vbz ?|~~|1/0/1 , 1/0/1 , 1/0/1 , 1 1 1 ?|~~|5 0 5 0 5 0 4 3 1 0
I cover your eyes, you fantasize|~~|nnp vb prp$ nns , prp vbp|~~|1 1/0 1 1 , 1 1/0/1|~~|57 1 26 2 0 19 1
I'm your wife, I'm your life, I'm your wife, how 'bout a fight?|~~|nnp prp$ nn , nnp prp$ nn , nnp prp$ nn , wrb nn dt nn ?|~~|1 1 1 , 1 1 1 , 1 1 1 , 1 1 1 1 ?|~~|8 26 2 0 8 26 3 0 8 26 2 0 4 3 43 1 0
|~~||~~||~~|
'Cause you like me to tie you to ice, the man's right|~~|nn prp in prp to nn prp to nn , dt nns nn|~~|1 1 1 1 1 1 1 1 1 , 0 1 1|~~|1 19 5 14 51 1 19 51 1 0 89 0 1
Shame, shame, shame, shame|~~|nnp , nn , nn , nn|~~|1 , 1 , 1 , 1|~~|4 0 4 0 4 0 4
|~~||~~||~~|
'Cause you like me to tie you to ice, you to ice|~~|nn prp in prp to nn prp to nn , prp to nn|~~|1 1 1 1 1 1 1 1 1 , 1 1 1|~~|1 19 5 14 51 1 19 51 1 0 19 51 1
'Cause you like me to tie you to ice, you to ice|~~|nn prp in prp to nn prp to nn , prp to nn|~~|1 1 1 1 1 1 1 1 1 , 1 1 1|~~|1 19 5 14 51 1 19 51 1 0 19 51 1
'Cause you like me to tie you to ice, you to ice|~~|nn prp in prp to nn prp to nn , prp to nn|~~|1 1 1 1 1 1 1 1 1 , 1 1 1|~~|1 19 5 14 51 1 19 51 1 0 19 51 1
Shame, shame, shame, shame|~~|nnp , nn , nn , nn|~~|1 , 1 , 1 , 1|~~|4 0 4 0 4 0 4
//The man that I am with my man|~~|nn nn in nnp vbp in prp$ nn|~~||~~|89 2 15 57 2 13 22 2
|~~||~~||~~|
The man that I am with my man |~~|dt nn in nnp vbp in prp$ nn  |~~|0 1 1 1 1 1 1 1  |~~|89 2 15 57 2 13 22 2 0
his warm coals heat toes |~~|prp$ jj nns nn nns  |~~|1 1 1 1 1  |~~|16 0 0 0 0 0
A shower cleans the surface and holes |~~|dt nn vbz dt nn cc nns  |~~|1 1/0 1 0 1/0 1 1  |~~|43 0 0 89 0 47 0 0
Water, soap and hands |~~|nnp , nn cc nns  |~~|1/0 , 1 1 1  |~~|0 0 0 47 1 0
I sit while he stands over me |~~|nnp vb in prp nn prp|~~|1 1 1 1 1/1/1 1|~~|57 0 0 21 0 14
I can hardly see that he is peeing on my shoulders and knees |~~|nnp md rb nn prp vbz nn in prp$ nns cc nns  |~~|1 1 1/0 1/1 1 1 1/1 1 1 1/0 1 1  |~~|57 7 0 0 21 15 0 29 22 0 47 0 0
A warm, wet, yellow breeze |~~|dt jj , jj , jj nn  |~~|1 1 , 1 , 1/0 1  |~~|43 0 0 0 0 0 0 0
He towels my head until dry |~~|prp nns prp$ nn in jj  |~~|1 1/0 1 1 0/1 1  |~~|21 0 22 3 1 0 0
And leads me to his bed opened wide |~~|cc vbz prp to prp$ vbn vbd jj  |~~|1 1 1 1 1 1 1/0 1  |~~|47 0 14 51 16 0 0 0 0
For my penis, nose, fingers and feet |~~|in prp$ nns , nn , nns cc nns  |~~|1 1 1/1 , 1 , 1/0 1 1  |~~|16 22 0 0 0 0 1 47 2 0
Body worn and set for sleep  |~~|nnp vbn cc vbn in nn  |~~|1/0 1 1 1 1 1  |~~|1 1 47 0 16 0 0
Taking out my hand he lifts me up and we both stand |~~|vbg in prp$ nn vbz prp in cc prp nn vb  |~~|1/0 1 1 1 1 1 1 1 1 1 1  |~~|1 5 22 0 0 14 3 47 23 0 0 0
We could be in the army or the klan 'cause when we're brothers in blood then we are brothers in band  |~~|prp md vb in dt nn cc dt nn wrb nn nns in nn rb prp vbp nns in nn  |~~|1 1 1 0 0 1/0 1 0 1/1 1 1 1/0 0 1 1 1 1 1/0 0 1  |~~|23 1 46 38 89 1 6 89 0 9 0 1 38 2 6 23 3 1 38 0 0
|~~||~~||~~|
Solid is the rock of my man |~~|jj vbz dt nn in prp$ nn  |~~|1/0 1 0 1 1 1 1  |~~|0 15 89 0 26 22 2 0
Solid is the rock of my man |~~|jj vbz dt nn in prp$ nn  |~~|1/0 1 0 1 1 1 1  |~~|0 15 89 0 26 22 2 0
Solid is the rock of my man  |~~|jj vbz dt nn in prp$ nn  |~~|1/0 1 0 1 1 1 1  |~~|0 15 89 0 26 22 0 0
|~~||~~||~~|
The man that i am with my man |~~|dt nn in nn vbp in prp$ nn  |~~|0 1 1 1 1 1 1 1  |~~|89 2 15 57 2 13 22 2 0
Tamed but feeling no blame |~~|vbn cc vbg dt nn  |~~|1 1 1/0 1 1  |~~|0 5 0 5 2 0
Taking my red wishes in hand |~~|vbg prp$ jj vbz in nn  |~~|1/0 1 1 1/0 0 1  |~~|1 22 1 0 38 1 0
Until my eyes have closed |~~|in prp$ nns vbp vbd  |~~|0/1 1 1 1 1  |~~|1 22 2 5 0 0
The man that i am with my man |~~|dt nn in nn vbp in prp$ nn  |~~|0 1 1 1 1 1 1 1  |~~|89 2 15 57 2 13 22 2 0
Pulled, poked and probed |~~|vbd , vbd cc vbd  |~~|1 , 1 1 1  |~~|0 0 0 47 0 0
His tongue licks my armpits and chest |~~|prp$ nn vbz prp$ nns cc nn  |~~|1 1 1 1 1/1 1 1  |~~|16 0 0 22 0 47 0 0
Warm, red, salt and wet  |~~|jj , jj , nn cc nn  |~~|1 , 1 , 1 1 1  |~~|0 0 1 0 0 47 0 0
Making a cut with a knife on my hand |~~|vbg dt nn in dt nn in prp$ nn  |~~|1/0 1 1 1 1 1 1 1 1  |~~|0 43 0 13 43 0 29 22 1 0
Then he uses his tongue, licks, swallows and grins |~~|rb prp vbz prp$ nn , vbz , nns cc nns  |~~|1 1 1/0 1 1 , 1 , 1/0 1 1  |~~|6 21 0 16 0 0 0 0 0 47 0 0
On my knees I do the same to my man |~~|in prp$ nns nnp vbp dt jj to prp$ nn  |~~|1 1 1 1 1 0 1 1 1 1  |~~|29 22 0 57 14 89 1 51 22 2 0
Blood juices loosen me up, in me I feel man in man  |~~|nnp nns vb prp in , in prp nnp vb nn in nn  |~~|1 1/0 1/0 1 1 , 0 1 1 1 1 0 1  |~~|2 0 0 14 3 0 38 14 57 1 2 38 0 0
Taking out his hand he lifts me up and pets my head |~~|vbg in prp$ nn vbz prp in cc nns prp$ nn  |~~|1/0 1 1 1 1 1 1 1 1 1 1  |~~|1 5 16 0 0 14 3 47 0 22 3 0
We could be in the army or the klan 'cause when we're brothers in blood then we are brothers in band  |~~|prp md vb in dt nn cc dt nn wrb nn nns in nn rb prp vbp nns in nn  |~~|1 1 1 0 0 1/0 1 0 1/1 1 1 1/0 0 1 1 1 1 1/0 0 1  |~~|23 1 46 38 89 1 6 89 0 9 0 1 38 2 6 23 3 1 38 0 0
|~~||~~||~~|
Solid is the rock of my man |~~|jj vbz dt nn in prp$ nn  |~~|1/0 1 0 1 1 1 1  |~~|0 15 89 0 26 22 2 0
Solid is the rock of my man |~~|jj vbz dt nn in prp$ nn  |~~|1/0 1 0 1 1 1 1  |~~|0 15 89 0 26 22 2 0
Solid is the rock of my man  |~~|jj vbz dt nn in prp$ nn  |~~|1/0 1 0 1 1 1 1  |~~|0 15 89 0 26 22 0 0
|~~||~~||~~|
The men, they are men with their men |~~|dt nns , prp vbp nns in prp$ nns  |~~|0 1 , 1 1 1 1 1 1  |~~|89 0 0 4 3 0 13 1 0 0
Raised in an army camp |~~|vbn in dt nn nn  |~~|1 0 1 1/0 1  |~~|0 38 6 1 0 0
They spit on my tarnished hands and pull at my underpants |~~|prp vb in prp$ vbn nn vb in prp$ nns  |~~|1 1 1 1 1/0 1/1 1 1 1 1/1/1  |~~|4 0 29 22 0 0 0 8 22 0 0
I'll be the man who I am with my man |~~|nnp vb dt nn wp nnp vbp in prp$ nn  |~~|1 1 0 1 1 1 1 1 1 1  |~~|6 46 89 2 7 57 2 13 22 2 0
Dressed in borrowed clothes  |~~|vbn in vbn nn  |~~|1 0 1/1 1/1  |~~|0 38 0 0 0
He softens my deep blues with his thighs |~~|prp vbz prp$ jj nns in prp$ nns  |~~|1 1/0 1 1 1 1 1 1  |~~|21 0 22 0 0 13 16 3 0
The fear of ocean underside  |~~|dt nn in nn nn  |~~|0 1 1 1/0 1/1/1/1  |~~|89 0 26 0 0 0
Taking out their hands they lift me up and we all stand |~~|vbg in prp$ nn vb prp in cc prp dt nn  |~~|1/0 1 1 1/1 1 1 1 1 1 1 1  |~~|1 5 1 0 0 14 3 47 23 15 0 0
We may be in the army or the klan 'cause when we're brothers in blood then we are brothers in band  |~~|prp md vb in dt nn cc dt nn wrb nn nns in nn rb prp vbp nns in nn  |~~|1 1 1 0 0 1/0 1 0 1/1 1 1 1/0 0 1 1 1 1 1/0 0 1  |~~|23 3 46 38 89 1 6 89 0 9 0 1 38 2 6 23 3 1 38 0 0
Taking out his hand he lifts me up and we both stand |~~|vbg in prp$ nn vbz prp in cc prp nn vb  |~~|1/0 1 1 1 1 1 1 1 1 1 1  |~~|1 5 16 0 0 14 3 47 23 0 0 0
We could be in the army or the klan 'cause when we're brothers in blood then we are brothers in band|~~|prp md vb in dt nn cc dt nn wrb nn nns in nn rb prp vbp nns in nn|~~|1 1 1 0 0 1/0 1 0 1/1 1 1 1/0 0 1 1 1 1 1/0 0 1|~~|23 1 46 38 89 1 6 89 0 9 0 1 38 2 6 23 3 1 38 0
|~~||~~||~~|
//The Dying Galatian|~~|nn vbg nnp|~~||~~|89 0 0
|~~||~~||~~|
The sand in my ears|~~|dt nn in prp$ nns|~~|0 1 0 1 1|~~|89 1 38 22 0
Dries with my tears|~~|nnps in prp$ nns|~~|1 1 1 1|~~|0 13 22 0
The light from the dawn of the day |~~|dt nn in dt nn in dt nn|~~|0 1 1 0 1 1 0 1|~~|89 0 13 89 0 26 89 4
Evaporates the blood and decay|~~|vbz dt nn cc nn|~~|0/1/0/1 0 1 1 0/1|~~|0 89 2 47 0
Of the battle that was won |~~|in dt nn in vbd vbd|~~|1 0 1/0 1 1 1|~~|26 89 0 15 4 0
With arms and steel and grunts|~~|in nns cc nn cc nns|~~|1 1 1 1 1 1|~~|13 2 47 0 47 0
The dead they are carried away and the living taste the day|~~|dt jj prp vbp vbd rb cc dt vbg nn dt nn|~~|0 1 1 1 1/0 0/1 1 0 1/0 1 0 1|~~|89 0 4 3 0 2 47 89 0 2 89 4
|~~||~~||~~|
Go in front of me, do not follow me|~~|vb in nn in prp , vbp rb vb prp|~~|1 0 1 1 1 , 1 1 1/0 1|~~|3 38 0 26 14 0 14 14 2 14
|~~||~~||~~|
The flood of blood|~~|dt nn in nn|~~|0 1 1 1|~~|89 0 26 2
Has turned into a red-maroon mud|~~|vbz vbd in dt nn nn|~~|1 1 0/1 1 1/1/1 1|~~|0 0 4 43 0 0
My eyes only see the wounds that decorate my body like blooms|~~|prp$ nns rb vb dt nns in vbp prp$ nn in nns|~~|1 1 1/0 1 0 1 1 1/0/1 1 1/0 1 1|~~|22 2 6 3 89 0 15 0 22 1 5 0
The scream of men confirms that there is still life within|~~|dt nn in nns vbz in ex vbz rb nn in|~~|0 1 1 1 0/1 1 1 1 1 1 0/1|~~|89 1 26 0 0 15 2 15 0 3 0
I sit and I’m nearly erect|~~|nnp vb cc nnp rb vb|~~|1 1 1 1 1/0 0/1|~~|57 0 47 8 0 0
I have the blood and the flood in my veins|~~|nnp vbp dt nn cc dt nn in prp$ nns|~~|1 1 0 1 1 0 1 0 1 1|~~|57 5 89 2 47 89 0 38 22 0
|~~||~~||~~|
Go in front of me, do not follow me|~~|vb in nn in prp , vbp rb vb prp|~~|1 0 1 1 1 , 1 1 1/0 1|~~|3 38 0 26 14 0 14 14 2 14
Go in front of me, do not follow me|~~|vb in nn in prp , vbp rb vb prp|~~|1 0 1 1 1 , 1 1 1/0 1|~~|3 38 0 26 14 0 14 14 2 14
|~~||~~||~~|
//Doot Doot Plot|~~|nn nnp nnp|~~|1 1 1|~~|0 0 0
|~~||~~||~~|
Fake goodness for the teacher |~~|jj nn in dt nn  |~~|1 1/0 1 0 1/0  |~~|0 0 16 89 0 0
And nothing can go wrong |~~|cc nn md vb jj  |~~|1 1/0 1 1 1  |~~|47 1 7 3 0 0
Act fortunate to be here |~~|nnp jj to vb rb  |~~|1 1/0/0 1 1 1  |~~|0 0 51 46 3 0
