headline , snippet , date,name,age,day of death,month of death,year of death
"James Rensenbrink, 81, Dies- Founded Aquarian Weekly ",Mr. Rensenbrink&#8217-s Aquarian Weekly claimed to be one of the last independent alternative papers in the country and one of the oldest continuously published ones.,2013-12-05T00:00:00Z,James Rensenbrink,81,5,12,2013
"Joseph E. Granville, Stock Market Predictor, Dies at 90",Mr. Granville was a famous market forecaster who made his own fortune in the less risky newsletter business.,2013-09-20T00:00:00Z,Joseph E. Granville,90,20,9,2013
"Bob Edgar, Lawmaker and Liberal Leader, Dies at 69","A six-term Pennsylvania congressman, Mr. Edgar was also a general secretary of the National Council of Churches and the president of the lobbying group Common Cause.",2013-04-25T00:00:00Z,Bob Edgar,69,25,4,2013
"Imero Fiorentino, Lighting Designer Who Mastered Television, Dies at 85","Mr. Fiorentino had a major role in some of the biggest events in TV history, including three Kennedy-Nixon debates.",2013-10-11T00:00:00Z,Imero Fiorentino,85,11,10,2013
"Tom Clancy, Best-Selling Master of Military Thrillers, Dies at 66","Mr. Clancy’s books were successfully transformed into blockbuster Hollywood films, including “Patriot Games,” “The Hunt for Red October” and “Clear and Present Danger.”",2013-10-03T00:00:00Z,Tom Clancy,66,3,10,2013
"Richard Ramirez, the ‘Night Stalker’ Killer, Dies at 53","Most of the killings were committed by Mr. Ramirez before dawn during residential burglaries, and all were markedly coldblooded, involving savage beatings, mutilations and sexual assaults.",2013-06-08T00:00:00Z,Richard Ramirez,53,8,6,2013
"Harold M. Agnew, Physicist Present at Birth of the Nuclear Age, Dies at 92","Dr. Agnew, who helped build the world’s first reactor and atomic bombs, flew on the first atomic strike against Japan and filmed the mushroom cloud.",2013-10-02T00:00:00Z,Harold M. Agnew,92,2,10,2013
"Ace Parker, Pro Football Hall of Famer From Leather-Helmet Days, Dies at 101","Parker, a star running back in the N.F.L. who also passed, caught passes, punted and place-kicked, was the oldest living member of the Pro Football Hall of Fame.",2013-11-07T00:00:00Z,Ace Parker,101,7,11,2013
"Eugene P. Wilkinson, Who Steered First Nuclear Submarine, Dies at 94","Admiral Wilkinson commanded the Nautilus, the military’s first machine to harness atomic fission for propulsion rather than weaponry.",2013-07-16T00:00:00Z,Eugene P. Wilkinson,94,16,7,2013
"Denis Forman, British TV Innovator, Is Dead at 95",Mr. Forman was the executive responsible for hit series like “The Jewel in the Crown” and “Brideshead Revisited.”,2013-02-27T00:00:00Z,Denis Forman,95,27,2,2013
"A. W. Clausen, a Bank of America Chief, Dies at 89",Mr. Clausen rose from a part-time position counting cash to become chief executive of Bank of America — twice — and president of the World Bank in between.,2013-01-26T00:00:00Z,A. W. Clausen,89,26,1,2013
"Rodolfo Hernandez, 82, Dies- Awarded Medal of Honor",Mr. Hernandez received the award for charging at the enemy in a daring assault while wounded and armed with an inoperable rifle and a bayonet when he was an Army corporal during the Korean War.,2013-12-25T00:00:00Z,Rodolfo Hernandez,82,25,12,2013
"Lew Wood, TV Newsman, Dies at 84",Mr. Wood covered President John F. Kennedy’s assassination for CBS News and later held the news anchor’s chair on the “Today” show at NBC.,2013-08-23T00:00:00Z,Lew Wood,84,23,8,2013
"U Sein Win, Champion of Myanmar Press Freedom, Dies at 91","Mr. Sein Win, who was the Yangon correspondent for The Associated Press from 1969 to 1989, was jailed three times during his career but lived long enough to see censorship lifted.",2013-10-19T00:00:00Z,U Sein Win,91,19,10,2013
"Henri Dutilleux, Modernist Composer, Dies at 97","Mr. Dutilleux, between Olivier Messiaen and Pierre Boulez in age, was little affected by either.",2013-05-23T00:00:00Z,Henri Dutilleux,97,23,5,2013
"Donald Glaser, Nobel Winner in Physics, Dies at 86","Mr. Glaser, a scientist who later turned to microbiology and developing cancer therapies, invented a device called the bubble chamber to trace the paths of subatomic particles.",2013-03-05T00:00:00Z,Donald Glaser,86,5,3,2013
"Allan Arbus, Psychiatrist With Zingers on ‘M*A*S*H,’ Dies at 95","Mr. Arbus played Maj. Sidney Freedman on the popular TV series. He worked with his first wife, Diane Arbus, as a photographer before taking up acting.",2013-04-24T00:00:00Z,Allan Arbus,95,24,4,2013
"Bob Jones, New York D.J. Heard on ‘Milkman’s Matinee’, Dies at 70","Mr. Jones, who loved to play the music of stars like Sinatra and Ellington, was known for sprinkling his WNEW-AM broadcast with details about the singers and composers.",2013-01-06T00:00:00Z,Bob Jones,70,6,1,2013
"Lou Brissie, an All-Star and War Hero, Dies at 89",Brissie achieved his dream and inspired people with disabilities by making the major leagues after suffering devastating leg injuries in World War II.,2013-11-27T00:00:00Z,Lou Brissie,89,27,11,2013
"Edmund S. Morgan, Historian Who Shed Light on Puritans, Dies at 97","Mr. Morgan was drawn to the Puritans’ intellectual world, but also explored the paradox of freedom and slavery in colonial Virginia and wrote a best-seller about Benjamin Franklin.",2013-07-09T00:00:00Z,Edmund S. Morgan,97,9,7,2013
"Marshall Lytle, 79, Bassist With Bill Haley, Dies","Mr. Lytle, one of the Comets, played on seminal rock ’n’ roll hits, including “Shake, Rattle and Roll” and “Rock Around the Clock.”",2013-05-29T00:00:00Z,Marshall Lytle,79,29,5,2013
"Robert Ward, Composed Prizewinning ‘Crucible’ Opera, Dies at 95","Mr. Ward’s best-known work, an operatic setting of “The Crucible,” won a Pulitzer Prize in 1962.",2013-04-07T00:00:00Z,Robert Ward,95,7,4,2013
"Ira Rubin, Champion and the Beast of the Bridge Table, Dies at 82","Mr. Rubin, an innovator in bidding theory who earned 20 national or world team titles, was nicknamed the Beast for the emotional intensity of his play.",2013-02-11T00:00:00Z,Ira Rubin,82,11,2,2013
"Elías Querejeta, 78, Producer of Major Spanish Films, Dies","Mr. Querejeta produced the essential works of many of his nation’s most challenging filmmakers, including “The Hunt” (1966), by Carlos Saura, which ushered in the so-called New Spanish Cinema.",2013-07-01T00:00:00Z,Elías Querejeta,78,1,7,2013
"Matt Mattox, Jazz Dance Pioneer, Dies at 91","Mr. Mattox, known for his “catlike agility” in “Seven Brides for Seven Brothers,” was also a pioneer of the art of jazz dancing.",2013-02-25T00:00:00Z,Matt Mattox,91,25,2,2013
"James Muri, Bomber Pilot Honored for Valor in Battle of Midway, Is Dead at 94",The World War II pilot bombed a Japanese aircraft carrier in the Pacific and then survived by flying his B-26 bomber directly over the enemy ship’s deck.,2013-02-10T00:00:00Z,James Muri,94,10,2,2013
"Robert F. Chew, Actor on ‘The Wire,’ Dies at 52","Mr. Chew, an actor best known for his roles in HBO dramas like “The Corner” and “The Wire,” was a well-regarded stage actor when he began appearing in television shows.",2013-01-19T00:00:00Z,Robert F. Chew,52,19,1,2013
"Austin Goodrich, Spy Who Posed as Journalist, Dies at 87","In the 1950s and ’60s, numerous secret agents for the United States used journalism as a cover. Mr. Goodrich, unlike some, considered himself primarily a spy.",2013-07-10T00:00:00Z,Austin Goodrich,87,10,7,2013
Dave Purchase Dies at 73- Led Early Needle Exchange,"Mr. Purchase, a biker from Tacoma, Wash., began handing out sterile syringes on the streets to prevent AIDS among drug addicts 24 years ago.",2013-01-28T00:00:00Z,Dave Purchase Dies at 73- Led Early Needle Exchange,73,28,1,2013
"Stephen Simon, Conductor Who Led a Handel Revival, Dies at 75","The founder of the resident chamber orchestra of the Kennedy Center, Mr. Simon showed audiences that there was more to a composer than the “Messiah.”",2013-02-03T00:00:00Z,Stephen Simon,75,3,2,2013
"Pentti Lund, First Finn to Star in the N.H.L., Dies at 87","Mr. Lund, a native of Finland, played in the N.H.L. long before the league began to attract the best ice hockey players in the world.",2013-04-19T00:00:00Z,Pentti Lund,87,19,4,2013
"Manson Whitlock, Typewriter Repairman, Dies at 96","Mr. Whitlock, often described as America’s oldest typewriter repairman, had a shop near Yale and fixed more than 300,000 machines — but never a computer.",2013-09-08T00:00:00Z,Manson Whitlock,96,8,9,2013
Harold Simmons Dies at 82- Backed Swift Boat Ads,"Mr. Simmons, who built a billion-dollar empire starting with a Dallas drugstore, gave $26.9 million to “super PACs” opposing President Obama in the 2012 presidential election.",2013-12-30T00:00:00Z,Harold Simmons Dies at 82- Backed Swift Boat Ads,82,30,12,2013
"Edwin A. Shuman III, Former Prisoner of War Who Defied Hanoi Hilton Guards, Dies at 82","Commander Shuman, a Navy pilot whose plane was shot down in 1968, led an effort by prisoners to conduct church services in the North Vietnamese camp known as the Hanoi Hilton.",2013-12-25T00:00:00Z,Edwin A. Shuman III,82,25,12,2013
"William W. Scranton, 96, G.O.P. Prodigy Who Led Pennsylvania, Is Dead","Mr. Scranton, heir to a fortune in railroads and utilities, was a congressman and governor before running unsuccessfully for the Republican Party’s presidential nomination in 1964.",2013-07-30T00:00:00Z,William W. Scranton,96,30,7,2013
"Cal Whipple, 94, Dies- Won 1943 Fight to Print Photo of War Dead","When censors refused Life magazine permission to publish a photo showing the bodies of three American soldiers, Mr. Whipple got President Franklin D. Roosevelt to reverse the decision.",2013-03-25T00:00:00Z,Cal Whipple,94,,,
"Yuri M. Schmidt, Rights Lawyer in Russia, Dies at 75","Mr. Schmidt was a winner of many landmark cases in a court system known for “telephone justice,” in which party bosses dictated verdicts.",2013-01-17T00:00:00Z,Yuri M. Schmidt,75,17,1,2013
"Art Kaminsky, Whose Clients Won the ‘Miracle on Ice,’ Dies at 66","At one point, Mr. Kaminsky represented about one-third of the players in the N.H.L., and he branched out to handle broadcasters.",2013-12-09T00:00:00Z,Art Kaminsky,66,9,12,2013
"Ieng Sary, Former Official of Khmer Rouge, Dies at 87",Mr. Ieng Sary was part of an inner circle of communists who led the movement that caused the deaths of 1.7 million people in Cambodia from 1975 to 1979.,2013-03-15T00:00:00Z,Ieng Sary,87,15,3,2013
"Curtis Harnack, Writer and President of Yaddo, Dies at 86","Mr. Harnack wrote of his life growing up on an Iowa farm and was president of Yaddo, the artists’ retreat in Saratoga Springs, N.Y., from 1971 to 1987.",2013-07-19T00:00:00Z,Curtis Harnack,86,19,7,2013
"One Goal Achieved, a Father Dies at 58","Howie Borowick, whose battle with cancer was chronicled in the Metropolitan section in October, with pictures by his daughter Nancy, died on Saturday.",2013-12-15T00:00:00Z,One Goal Achieved,58,15,12,2013
"Sam Barshop, Hotels’ Founder, Dies at 84","Mr.Barshop, with his brother, used $45,000 in borrowed money to begin the La Quinta Inns & Suites hotel chain.",2013-12-11T00:00:00Z,Sam Barshop,84,11,12,2013
"Paul Cellucci, Ex-Massachusetts Governor, Dies at 65","Mr. Cellucci, a typically moderate New England Republican, also served as ambassador to Canada.",2013-06-09T00:00:00Z,Paul Cellucci,65,9,6,2013
"Jack Butler, an Undrafted Football Hall of Famer, Dies at 85","Mr. Butler, who in nine seasons with the Steelers intercepted 52 passes, was a first-team all-N.F.L. player three times and was elected to the Pro Football Hall of Fame in 2012.",2013-05-13T00:00:00Z,Jack Butler,85,13,5,2013
"Carl Williams, 53, Champ Who Ducked No One","Carl Williams, a former heavyweight champion who built a reputation for climbing into the ring with the best boxers of his era, including Larry Holmes and Mike Tyson, died on April 7 in Valhalla, N.Y. He was 53.&#xa-   &#xa-The cause was complication",2013-04-17T00:00:00Z,Carl Williams,53,17,4,2013
"Harry Carey Jr., Sidekick to John Wayne, Dies at 91",Mr. Carey Jr. was considered the last surviving member of a group known informally in Hollywood as the John Ford stock company.,2013-01-02T00:00:00Z,Harry Carey Jr.,91,2,1,2013
"Dick Kazmaier, a Heisman Winner Who Passed on the N.F.L., Dies at 82","Mr. Kazmaier, a Princeton halfback who won the Heisman in 1951, was drafted by the Bears but declined to join the team, or any other, saying he had achieved all he wanted in the sport.",2013-08-02T00:00:00Z,Dick Kazmaier,82,2,8,2013
"Dick Kazmaier, a Heisman Winner Who Passed on the N.F.L., Dies at 82","Mr. Kazmaier, a Princeton halfback who won the Heisman in 1951, was drafted by the Bears but declined to join the team, or any other, saying he had achieved all he wanted in the sport.",2013-08-02T00:00:00Z,Dick Kazmaier,82,2,8,2013
"Geza Vermes, Scholar of ‘Historical Jesus,’ Dies at 88","Dr. Vermes, one of the scrolls’ essential translators, wrote several books that placed Jesus in the tradition of Jewish teachers.",2013-05-17T00:00:00Z,Geza Vermes,88,17,5,2013
"Jack Mitchell, Photographer of the Arts, Dies at 88","Mr. Mitchell, who took thousands of portraits of dancers, musicians, writer and other artists, was known for his ability to tease character studies from his photo sessions.",2013-11-10T00:00:00Z,Jack Mitchell,88,10,11,2013
"Oscar Espinosa Chepe, Cuban Economist and Castro Critic, Dies at 72","Mr. Espinosa Chepe, who advocated the limited restoration of capitalist principles, remained in Cuba despite enduring harassment and imprisonment.",2013-09-26T00:00:00Z,Oscar Espinosa Chepe,72,26,9,2013
"G. W. Stocking, 84- Studied Anthropologists ","Professor Stocking was a historian of science who chronicled the norms, customs and tribal beliefs of modern anthropologists, documenting a history of racial bias and ethnocentrism.",2013-08-01T00:00:00Z,G. W. Stocking,84,1,8,2013
"James A. Hood, Student Who Challenged Segregation, Dies at 70",Mr. Hood integrated the University of Alabama in 1963 together with his fellow student Vivian Malone after Gov. George C. Wallace capitulated to the federal government.,2013-01-21T00:00:00Z,James A. Hood,70,21,1,2013
